timestamp,room_name,percent
2025-10-17T01:35:28.199536-07:00,Upper Exercise Room,0.0
2025-10-17T01:35:28.199536-07:00,Track Exercise Room,4.0
2025-10-17T01:53:13.881040-07:00,Lower Exercise Room,1.0
2025-10-17T01:53:13.881040-07:00,Upper Exercise Room,0.0
2025-10-17T01:53:13.881040-07:00,Track Exercise Room,7.0
2025-10-17T02:20:44.400207-07:00,Lower Exercise Room,1.0
2025-10-17T02:20:44.400207-07:00,Upper Exercise Room,0.0
2025-10-17T02:20:44.400207-07:00,Track Exercise Room,7.0
2025-10-17T02:38:27.901721-07:00,Lower Exercise Room,1.0
2025-10-17T02:38:27.901721-07:00,Upper Exercise Room,0.0
2025-10-17T02:38:27.901721-07:00,Track Exercise Room,7.0
2025-10-17T02:51:00.565965-07:00,Lower Exercise Room,1.0
2025-10-17T02:51:00.565965-07:00,Upper Exercise Room,0.0
2025-10-17T02:51:00.565965-07:00,Track Exercise Room,7.0
2025-10-17T03:15:17.027492-07:00,Lower Exercise Room,1.0
2025-10-17T03:15:17.027492-07:00,Upper Exercise Room,0.0
2025-10-17T03:15:17.027492-07:00,Track Exercise Room,4.0
2025-10-17T03:38:47.382822-07:00,Lower Exercise Room,1.0
2025-10-17T03:38:47.382822-07:00,Upper Exercise Room,0.0
2025-10-17T03:38:47.382822-07:00,Track Exercise Room,7.0
2025-10-17T03:51:12.931592-07:00,Lower Exercise Room,1.0
2025-10-17T03:51:12.931592-07:00,Upper Exercise Room,0.0
2025-10-17T03:51:12.931592-07:00,Track Exercise Room,4.0
2025-10-17T04:11:49.660753-07:00,Lower Exercise Room,1.0
2025-10-17T04:11:49.660753-07:00,Upper Exercise Room,0.0
2025-10-17T04:11:49.660753-07:00,Track Exercise Room,4.0
